ProductManufacturer_Manufacturer|dbo|Product_Manufacturer_Mapping|ManufacturerId|dbo|Manufacturer|Id
ProductManufacturer_Product|dbo|Product_Manufacturer_Mapping|ProductId|dbo|Product|Id
ProductPicture_Picture|dbo|Product_Picture_Mapping|PictureId|dbo|Picture|Id
ProductPicture_Product|dbo|Product_Picture_Mapping|ProductId|dbo|Product|Id
ProductReview_Product1|dbo|ProductReview|ProductId|dbo|Product|Id
ProductReview_TypeConstraint_From_CustomerContent_To_ProductReview|dbo|ProductReview|Id|dbo|CustomerContent|Id
ProductReviewHelpfulness_ProductReview1|dbo|ProductReviewHelpfulness|ProductReviewId|dbo|ProductReview|Id
ProductReviewHelpfulness_TypeConstraint_From_CustomerContent_To_ProductReviewHelpfulness|dbo|ProductReviewHelpfulness|Id|dbo|CustomerContent|Id
ProductSpecificationAttribute_Product|dbo|Product_SpecificationAttribute_Mapping|ProductId|dbo|Product|Id
ProductSpecificationAttribute_SpecificationAttributeOption|dbo|Product_SpecificationAttribute_Mapping|SpecificationAttributeOptionId|dbo|SpecificationAttributeOption|Id
ProductTag_Products_Source|dbo|Product_ProductTag_Mapping|ProductTag_Id|dbo|ProductTag|Id
ProductTag_Products_Target|dbo|Product_ProductTag_Mapping|Product_Id|dbo|Product|Id
ProductVariant_Product|dbo|ProductVariant|ProductId|dbo|Product|Id
ProductVariantAttribute_ProductAttribute|dbo|ProductVariant_ProductAttribute_Mapping|ProductAttributeId|dbo|ProductAttribute|Id
ProductVariantAttribute_ProductVariant|dbo|ProductVariant_ProductAttribute_Mapping|ProductVariantId|dbo|ProductVariant|Id
ProductVariantAttributeCombination_ProductVariant|dbo|ProductVariantAttributeCombination|ProductVariantId|dbo|ProductVariant|Id
ProductVariantAttributeValue_ProductVariantAttribute|dbo|ProductVariantAttributeValue|ProductVariantAttributeId|dbo|ProductVariant_ProductAttribute_Mapping|Id
QueuedEmail_EmailAccount|dbo|QueuedEmail|EmailAccountId|dbo|EmailAccount|Id
RecurringPayment_InitialOrder|dbo|RecurringPayment|InitialOrderId|dbo|Order|Id
RecurringPaymentHistory_RecurringPayment|dbo|RecurringPaymentHistory|RecurringPaymentId|dbo|RecurringPayment|Id
ReturnRequest_Customer|dbo|ReturnRequest|CustomerId|dbo|Customer|Id
RewardPointsHistory_Customer|dbo|RewardPointsHistory|CustomerId|dbo|Customer|Id
RewardPointsHistory_UsedWithOrder|dbo|RewardPointsHistory|UsedWithOrder_Id|dbo|Order|Id
ShippingMethod_RestrictedCountries_Source|dbo|ShippingMethodRestrictions|ShippingMethod_Id|dbo|ShippingMethod|Id
ShippingMethod_RestrictedCountries_Target|dbo|ShippingMethodRestrictions|Country_Id|dbo|Country|Id
ShoppingCartItem_Customer|dbo|ShoppingCartItem|CustomerId|dbo|Customer|Id
ShoppingCartItem_ProductVariant|dbo|ShoppingCartItem|ProductVariantId|dbo|ProductVariant|Id
SpecificationAttributeOption_SpecificationAttribute|dbo|SpecificationAttributeOption|SpecificationAttributeId|dbo|SpecificationAttribute|Id
StateProvince_Country|dbo|StateProvince|CountryId|dbo|Country|Id
TierPrice_CustomerRole|dbo|TierPrice|CustomerRoleId|dbo|CustomerRole|Id
TierPrice_ProductVariant|dbo|TierPrice|ProductVariantId|dbo|ProductVariant|Id
