dbo|AbonosPagosClientes|21|descuento|float|NULL|53|NULL|YES
dbo|AbonosPagosClientes|22|SujetoISRL|float|NULL|53|NULL|YES
dbo|AbonosPagosClientes|23|Exento|float|NULL|53|NULL|YES
dbo|AbonosPagosClientes|24|Retenido|float|NULL|53|NULL|YES
dbo|Accesos|1|Cod_Usuario|nvarchar|51|NUL|NULL|NO
dbo|Accesos|2|Modulo|nvarchar|50|NUL|NULL|NO
dbo|Accesos|3|Titulo|nvarchar|50|NUL|NULL|YES
dbo|Accesos|4|Valor|bit|NULL|NUL|NULL|NO
dbo|Accesos|5|upsize_ts|timestamp|NULL|NUL|NULL|YES
dbo|AccesoUsuarios|1|Cod_Usuario|nvarchar|10|NUL|NULL|NO
dbo|AccesoUsuarios|2|Modulo|nvarchar|50|NUL|NULL|NO
dbo|AccesoUsuarios|3|Permitido|bit|NULL|NUL|NULL|NO
dbo|AceitesVendidos|1|FECHA|datetime|NULL|NUL|NULL|YES
dbo|AceitesVendidos|2|HORA|nvarchar|20|NUL|NULL|YES
dbo|AceitesVendidos|3|Tipo|nvarchar|50|NUL|NULL|YES
dbo|AceitesVendidos|4|NUM_FACT|nvarchar|20|NUL|NULL|YES
dbo|AceitesVendidos|5|DESCRIPCION|nvarchar|255|NUL|NULL|YES
dbo|AceitesVendidos|6|CANTIDAD|float|NULL|53|NULL|YES
dbo|ActivityLog|1|Id|int|NULL|10|0|NO
dbo|ActivityLog|2|ActivityLogTypeId|int|NULL|10|0|NO
dbo|ActivityLog|3|CustomerId|int|NULL|10|0|NO
dbo|ActivityLog|4|Comment|nvarchar|-1|NUL|NULL|NO
dbo|ActivityLog|5|CreatedOnUtc|datetime|NULL|NUL|NULL|NO
dbo|ActivityLogType|1|Id|int|NULL|10|0|NO
dbo|ActivityLogType|2|SystemKeyword|nvarchar|100|NUL|NULL|NO
dbo|ActivityLogType|3|Name|nvarchar|200|NUL|NULL|NO
dbo|ActivityLogType|4|Enabled|bit|NULL|NUL|NULL|NO
dbo|Address|1|Id|int|NULL|10|0|NO
dbo|Address|2|FirstName|nvarchar|-1|NUL|NULL|YES
dbo|Address|3|LastName|nvarchar|-1|NUL|NULL|YES
dbo|Address|4|Email|nvarchar|-1|NUL|NULL|YES
dbo|Address|5|Company|nvarchar|-1|NUL|NULL|YES
dbo|Address|6|CountryId|int|NULL|10|0|YES
dbo|Address|7|StateProvinceId|int|NULL|10|0|YES
dbo|Address|8|City|nvarchar|-1|NUL|NULL|YES
dbo|Address|9|Address1|nvarchar|-1|NUL|NULL|YES
dbo|Address|10|Address2|nvarchar|-1|NUL|NULL|YES
dbo|Address|11|ZipPostalCode|nvarchar|-1|NUL|NULL|YES
dbo|Address|12|PhoneNumber|nvarchar|-1|NUL|NULL|YES
dbo|Address|13|FaxNumber|nvarchar|-1|NUL|NULL|YES
dbo|Address|14|CreatedOnUtc|datetime|NULL|NUL|NULL|NO
dbo|Affiliate|1|Id|int|NULL|10|0|NO
dbo|Affiliate|2|AddressId|int|NULL|10|0|NO
dbo|Affiliate|3|Deleted|bit|NULL|NUL|NULL|NO
dbo|Affiliate|4|Active|bit|NULL|NUL|NULL|NO
dbo|AjusteLibroInventario|1|Id|bigint|NULL|19|0|NO
dbo|AjusteLibroInventario|2|Periodo|nvarchar|10|NUL|NULL|YES
dbo|AjusteLibroInventario|3|Codigo|nvarchar|50|NUL|NULL|YES
dbo|AjusteLibroInventario|4|Descripcion|nvarchar|254|NUL|NULL|YES
dbo|AjusteLibroInventario|5|Costo|float|NULL|53|NULL|YES
dbo|AjusteLibroInventario|6|Inicial|float|NULL|53|NULL|YES
dbo|AjusteLibroInventario|7|Entradas|float|NULL|53|NULL|YES
dbo|AjusteLibroInventario|8|Salidas|int|NULL|10|0|YES
dbo|AjusteLibroInventario|9|AutoConsumo|float|NULL|53|NULL|YES
dbo|AjusteLibroInventario|10|Retiros|float|NULL|53|NULL|YES
dbo|Almacen|1|Codigo|nvarchar|2|NUL|NULL|NO
dbo|Almacen|2|Descripcion|nvarchar|50|NUL|NULL|YES
dbo|Almacen|3|Tipo|nvarchar|50|NUL|NULL|YES
dbo|AnalisisVentasCompras|1|COD_SERV|nvarchar|50|NUL|NULL|YES
dbo|AnalisisVentasCompras|2|DESCRIPCION|nvarchar|255|NUL|NULL|YES
dbo|AnalisisVentasCompras|3|Cant|float|NULL|53|NULL|YES
dbo|AnalisisVentasCompras|4|Totales|float|NULL|53|NULL|YES
dbo|AnalisisVentasCompras|5|COD_PROVEEDOR|nvarchar|30|NUL|NULL|YES
dbo|AnalisisVentasCompras|6|FECHA|datetime|NULL|NUL|NULL|YES
dbo|AnalisisVentasCompras|7|CANTIDAD|float|NULL|53|NULL|YES
dbo|AnalisisVentasCompras|8|PRECIO_COSTO|float|NULL|53|NULL|YES
dbo|AnalisisVentasCompras|9|NUM_FACT|nvarchar|25|NUL|NULL|YES
dbo|Antiguedad|1|MESES|int|NULL|10|0|NO
dbo|Antiguedad|2|PREAVISO|int|NULL|10|0|YES
dbo|Antiguedad|3|LEGAL|float|NULL|53|NULL|YES
dbo|Antiguedad|4|VAC_INDUS|float|NULL|53|NULL|YES
dbo|Antiguedad|5|CONTRATO|float|NULL|53|NULL|YES
dbo|Antiguedad|6|ADICIONAL|float|NULL|53|NULL|YES
dbo|Antiguedad|7|VAC_PETRO|nvarchar|50|NUL|NULL|YES
dbo|Antiguedad|8|BONO_VAC|float|NULL|53|NULL|YES
dbo|Antiguedad|9|Co_usuario|nvarchar|10|NUL|NULL|YES
dbo|Antiguedad|10|NORMAL|float|NULL|53|NULL|YES
