dbo|Country|PK__Country__3214EC07011F1899|CLUSTERED|1|1|0|Id|NULL
dbo|CrossSellProduct|PK__CrossSel__3214EC0704EFA97D|CLUSTERED|1|1|0|Id|NULL
dbo|Cuentas|aaaaaCuentas_PK|NONCLUSTERED|1|1|0|COD_CUENTA|NULL
dbo|CuentasBank|aaaaaCuentasBank_PK|NONCLUSTERED|1|1|0|Nro_Cta|NULL
dbo|Currency|IX_Currency_DisplayOrder|NONCLUSTERED|0|0|0|DisplayOrder|NULL
dbo|Currency|PK__Currency__3214EC0708C03A61|CLUSTERED|1|1|0|Id|NULL
dbo|Customer|IX_Customer_CustomerGuid|NONCLUSTERED|0|0|0|CustomerGuid|NULL
dbo|Customer|IX_Customer_Email|NONCLUSTERED|0|0|0|Email|NULL
dbo|Customer|IX_Customer_Username|NONCLUSTERED|0|0|0|Username|NULL
dbo|Customer|PK__Customer__3214EC070C90CB45|CLUSTERED|1|1|0|Id|NULL
dbo|Customer_CustomerRole_Mapping|PK__Customer__ABACF0F71BD30ED5|CLUSTERED|1|1|0|Customer_Id,CustomerRole_Id|NULL
dbo|CustomerAddresses|PK__Customer__3C89582210615C29|CLUSTERED|1|1|0|Customer_Id,Address_Id|NULL
dbo|CustomerAttribute|IX_CustomerAttribute_CustomerId|NONCLUSTERED|0|0|0|CustomerId|NULL
dbo|CustomerAttribute|PK__Customer__3214EC071431ED0D|CLUSTERED|1|1|0|Id|NULL
dbo|CustomerContent|PK__Customer__3214EC0718027DF1|CLUSTERED|1|1|0|Id|NULL
dbo|CustomerRole|PK__Customer__3214EC071FA39FB9|CLUSTERED|1|1|0|Id|NULL
dbo|Depositos|aaaaaDepositoss_PK|NONCLUSTERED|1|1|0|nro_dep,nro_cta|NULL
dbo|Detalle_Cheque|aaaaaDetalle_Cheque_PK|NONCLUSTERED|1|1|0|nro_cta,codigo,nro_trans|NULL
dbo|Detalle_Compras|Detalle_Factura|NONCLUSTERED|0|0|0|NUM_FACT|NULL
